productName|link|logo|productId|ranking|company_name|annualFee|badges1|badges2|badges3|badges4|balanceTransfer|bankName|cardProvider|cardType|currency|hasAirMiles|hasCashBack|hasPetrolRewards|hasPoints|interestRate|keyBenefit1|keyBenefit2|keyBenefit3|logoAltText|lowInterestThreshold|minMonthlyIncome|premium|cashBackRewardsRetail|cashBackRewardsSpecial|cashBackRewardsHotels|milesRewardsEnrichMiles|pointRewardsRetail|language|hasOctopus|hasPromotion|promoText|promoExpiry||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Business Card|https://www.citibank.com.hk/form/cards/business_card/eng/application_form.html|citibank-business-card.jpg||1|15|0|||||0|Citibank|Visa|business|HKD|TRUE|TRUE|FALSE|TRUE|19.56|First year annual fee waiver|Up to 58 days of interest-free repayment period|Business Privileges|Citibank Visa Business Card|32|0|FALSE|0.5||No|15|1 HK$ spend=1 Reward Point|en|TRUE|TRUE|100000 points per cardholder|31/12/2013||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
商務卡商務卡商務卡商務卡商務卡商務卡商務卡商務卡商務卡商務卡商務卡商務卡商務卡商務卡商務卡商務卡商務卡商務卡商務卡商務卡|https://www.citibank.com.hk/form/cards/business_card/chi/application_form.html|citibank-business-card.jpg||1|38|0|||||0|花旗銀行花旗銀行花旗銀行花旗銀行花旗銀行花旗銀行花旗銀行花旗銀行花旗銀行花旗銀行花旗銀行花旗銀行花旗銀行花旗銀行花旗銀行花旗銀行花旗銀行花旗銀行花旗銀行花旗銀行|Visa|business|HKD|TRUE|TRUE|FALSE|TRUE|19.56|豁免首年年費豁免首年年費豁免首年年費豁免首年年費豁免首年年費豁免首年年費豁免首年年費豁免首年年費豁免首年年費豁免首年年費豁免首年年費豁免首年年費豁免首年年費豁免首年年費豁免首年年費豁免首年年費豁免首年年費豁免首年年費豁免首年年費豁免首年年費|免息還款期長達58日|商務禮遇|花旗銀行花旗銀行花旗銀行花旗銀行花旗銀行花旗銀行花旗銀行花旗銀行花旗銀行花旗銀行花旗銀行花旗銀行花旗銀行花旗銀行花旗銀行花旗銀行花旗銀行花旗銀行花旗銀行花旗銀行 Visa 商務卡商務卡商務卡商務卡商務卡商務卡商務卡商務卡商務卡商務卡商務卡商務卡商務卡商務卡商務卡商務卡商務卡商務卡商務卡商務卡|32|0|FALSE|0.3||No|15|每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分|zh|TRUE|TRUE|每位持卡人可獲100000積分每位持卡人可獲100000積分每位持卡人可獲100000積分每位持卡人可獲100000積分每位持卡人可獲100000積分每位持卡人可獲100000積分每位持卡人可獲100000積分每位持卡人可獲100000積分每位持卡人可獲100000積分每位持卡人可獲100000積分每位持卡人可獲100000積分每位持卡人可獲100000積分每位持卡人可獲100000積分每位持卡人可獲100000積分每位持卡人可獲100000積分每位持卡人可獲100000積分每位持卡人可獲100000積分每位持卡人可獲100000積分每位持卡人可獲100000積分每位持卡人可獲100000積分|31/12/2013||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
UnionPay Dual Currency Diamond Card|https://sportal.chbank.com/chbank-formEngine/CreditCard.do|chong-hing-unionpay-dual-currency-diamond-card.jpg||1|14|0|||||0|Chong Hing Bank|UnionPay|personal|Dual|FALSE|FALSE|FALSE|TRUE|21.7|Overseas Transaction Fees Wavier|Worldwide Cash Advance Services|Monthly Preferential Interest rate|Chong Hing Bank UnionPay UnionPay Dual Currency Diamond Card|32|150000|FALSE|0||Yes|0|1 HK$ spend=1 Bonus Point|en|TRUE|TRUE|Famous 12L Multi-function Halogen Oven or Panasonic Fuzzy Logic Warm Jar or HK$250 Supermarket Coupons|31/12/2013||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
銀聯雙幣鑽石卡|https://sportal.chbank.com/chbank-formEngine/CreditCard.do|chong-hing-unionpay-dual-currency-diamond-card.jpg||1|39|0|||||0|創興銀行|UnionPay|personal|Dual|FALSE|FALSE|FALSE|TRUE|21.7|豁免海外簽賬手續費|全球現金透支服務|特低月息優惠|創興銀行 UnionPay 銀聯雙幣鑽石卡|32|150000|FALSE|0||Yes|0|每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分|zh|TRUE|TRUE|法國名家12公升多功能熱波爐或Panasonic快思邏輯西施電飯煲或HK$250超級市場禮券法國名家12公升多功能熱波爐或Panasonic快思邏輯西施電飯煲或HK$250超級市場禮券法國名家12公升多功能熱波爐或Panasonic快思邏輯西施電飯煲或HK$250超級市場禮券法國名家12公升多功能熱波爐或Panasonic快思邏輯西施電飯煲或HK$250超級市場禮券法國名家12公升多功能熱波爐或Panasonic快思邏輯西施電飯煲或HK$250超級市場禮券法國名家12公升多功能熱波爐或Panasonic快思邏輯西施電飯煲或HK$250超級市場禮券法國名家12公升多功能熱波爐或Panasonic快思邏輯西施電飯煲或HK$250超級市場禮券法國名家12公升多功能熱波爐或Panasonic快思邏輯西施電飯煲或HK$250超級市場禮券法國名家12公升多功能熱波爐或Panasonic快思邏輯西施電飯煲或HK$250超級市場禮券法國名家12公升多功能熱波爐或Panasonic快思邏輯西施電飯煲或HK$250超級市場禮券法國名家12公升多功能熱波爐或Panasonic快思邏輯西施電飯煲或HK$250超級市場禮券法國名家12公升多功能熱波爐或Panasonic快思邏輯西施電飯煲或HK$250超級市場禮券法國名家12公升多功能熱波爐或Panasonic快思邏輯西施電飯煲或HK$250超級市場禮券法國名家12公升多功能熱波爐或Panasonic快思邏輯西施電飯煲或HK$250超級市場禮券法國名家12公升多功能熱波爐或Panasonic快思邏輯西施電飯煲或HK$250超級市場禮券法國名家12公升多功能熱波爐或Panasonic快思邏輯西施電飯煲或HK$250超級市場禮券法國名家12公升多功能熱波爐或Panasonic快思邏輯西施電飯煲或HK$250超級市場禮券法國名家12公升多功能熱波爐或Panasonic快思邏輯西施電飯煲或HK$250超級市場禮券法國名家12公升多功能熱波爐或Panasonic快思邏輯西施電飯煲或HK$250超級市場禮券法國名家12公升多功能熱波爐或Panasonic快思邏輯西施電飯煲或HK$250超級市場禮券|31/12/2013||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
UnionPay Dual Currency Gold Card|https://sportal.chbank.com/chbank-formEngine/CreditCard.do|chong-hing-unionpay-dual-currency-gold-card.jpg||1|14|0|||||0|Chong Hing Bank|UnionPay|personal|Dual|FALSE|FALSE|FALSE|TRUE|21.7|Overseas Transaction Fees Wavier|Perpetual Annual Fee Waiver|Monthly Preferential Interest rate|Chong Hing Bank UnionPay UnionPay Dual Currency Gold Card|32|48000|FALSE|0||Yes|0|1 HK$ spend=1 Bonus Point|en|TRUE|TRUE|Famous 12L Multi-function Halogen Oven or Panasonic Fuzzy Logic Warm Jar or HK$250 Supermarket Coupons|31/12/2013||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
銀聯雙幣金卡|https://sportal.chbank.com/chbank-formEngine/CreditCard.do|chong-hing-unionpay-dual-currency-gold-card.jpg||1|39|0|||||0|創興銀行|UnionPay|personal|Dual|FALSE|FALSE|FALSE|TRUE|21.7|豁免海外簽賬手續費|永久豁免年費優惠|特低月息優惠|創興銀行 UnionPay 銀聯雙幣金卡|32|48000|FALSE|0||Yes|0|每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分|zh|TRUE|TRUE|法國名家12公升多功能熱波爐或Panasonic快思邏輯西施電飯煲或HK$250超級市場禮券法國名家12公升多功能熱波爐或Panasonic快思邏輯西施電飯煲或HK$250超級市場禮券法國名家12公升多功能熱波爐或Panasonic快思邏輯西施電飯煲或HK$250超級市場禮券法國名家12公升多功能熱波爐或Panasonic快思邏輯西施電飯煲或HK$250超級市場禮券法國名家12公升多功能熱波爐或Panasonic快思邏輯西施電飯煲或HK$250超級市場禮券法國名家12公升多功能熱波爐或Panasonic快思邏輯西施電飯煲或HK$250超級市場禮券法國名家12公升多功能熱波爐或Panasonic快思邏輯西施電飯煲或HK$250超級市場禮券法國名家12公升多功能熱波爐或Panasonic快思邏輯西施電飯煲或HK$250超級市場禮券法國名家12公升多功能熱波爐或Panasonic快思邏輯西施電飯煲或HK$250超級市場禮券法國名家12公升多功能熱波爐或Panasonic快思邏輯西施電飯煲或HK$250超級市場禮券法國名家12公升多功能熱波爐或Panasonic快思邏輯西施電飯煲或HK$250超級市場禮券法國名家12公升多功能熱波爐或Panasonic快思邏輯西施電飯煲或HK$250超級市場禮券法國名家12公升多功能熱波爐或Panasonic快思邏輯西施電飯煲或HK$250超級市場禮券法國名家12公升多功能熱波爐或Panasonic快思邏輯西施電飯煲或HK$250超級市場禮券法國名家12公升多功能熱波爐或Panasonic快思邏輯西施電飯煲或HK$250超級市場禮券法國名家12公升多功能熱波爐或Panasonic快思邏輯西施電飯煲或HK$250超級市場禮券法國名家12公升多功能熱波爐或Panasonic快思邏輯西施電飯煲或HK$250超級市場禮券法國名家12公升多功能熱波爐或Panasonic快思邏輯西施電飯煲或HK$250超級市場禮券法國名家12公升多功能熱波爐或Panasonic快思邏輯西施電飯煲或HK$250超級市場禮券法國名家12公升多功能熱波爐或Panasonic快思邏輯西施電飯煲或HK$250超級市場禮券|31/12/2013||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
MAN Platinum Card|https://sportal.chbank.com/chbank-formEngine/CreditCard.do|chong-hing-man-platinum-card.jpg||1|14|0|||||0|Chong Hing Bank|MasterCard|personal|HKD|FALSE|FALSE|FALSE|TRUE|21.7|1.65% Monthly Preferential Interest Rate|MasterCard Greater China Premium Collection|Welcome Gift of Portable Power Charger with fragrance incense and hand warmer 3-in-1|Chong Hing Bank MasterCard MAN Platinum Card|32|250000|FALSE|0||Yes|0|1 HK$ spend=1 Bonus Point|en|TRUE|TRUE|Portable Power Charger with fragrance incense and hand warmer 3-in-1|31/12/2013||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
MAN白金信用卡|https://sportal.chbank.com/chbank-formEngine/CreditCard.do|chong-hing-man-platinum-card.jpg||1|39|0|||||0|創興銀行|MasterCard|personal|HKD|FALSE|FALSE|FALSE|TRUE|21.7|特低月息1.65%|萬事達卡大中華尊榮禮遇|迎新禮品: 三合一香薰暖手供電器|創興銀行 MasterCard MAN白金信用卡|32|250000|FALSE|0||Yes|0|每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分|zh|TRUE|TRUE|三合一香薰暖手供電器|31/12/2013||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
MAN Titanium Card|https://sportal.chbank.com/chbank-formEngine/CreditCard.do|chong-hing-man-titanium-card.jpg||1|14|0|||||0|Chong Hing Bank|MasterCard|personal|HKD|FALSE|FALSE|FALSE|TRUE|21.7|1.65% Monthly Preferential Interest Rate|MasterCard Greater China Premium Collection|Welcome Gift of Portable Power Charger with fragrance incense and hand warmer 3-in-1|Chong Hing Bank MasterCard MAN Titanium Card|32|120000|FALSE|0||Yes|0|1 HK$ spend=1 Bonus Point|en|TRUE|TRUE|Portable Power Charger with fragrance incense and hand warmer 3-in-1|31/12/2013||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
MAN鈦金信用卡MAN鈦金信用卡MAN鈦金信用卡MAN鈦金信用卡MAN鈦金信用卡MAN鈦金信用卡MAN鈦金信用卡MAN鈦金信用卡MAN鈦金信用卡MAN鈦金信用卡MAN鈦金信用卡MAN鈦金信用卡MAN鈦金信用卡MAN鈦金信用卡MAN鈦金信用卡MAN鈦金信用卡MAN鈦金信用卡MAN鈦金信用卡MAN鈦金信用卡MAN鈦金信用卡|https://sportal.chbank.com/chbank-formEngine/CreditCard.do|chong-hing-man-titanium-card.jpg||1|39|0|||||0|創興銀行|MasterCard|personal|HKD|FALSE|FALSE|FALSE|TRUE|21.7|特低月息1.65%|萬事達卡大中華尊榮禮遇|迎新禮品: 三合一香薰暖手供電器|創興銀行 MasterCard MAN鈦金信用卡MAN鈦金信用卡MAN鈦金信用卡MAN鈦金信用卡MAN鈦金信用卡MAN鈦金信用卡MAN鈦金信用卡MAN鈦金信用卡MAN鈦金信用卡MAN鈦金信用卡MAN鈦金信用卡MAN鈦金信用卡MAN鈦金信用卡MAN鈦金信用卡MAN鈦金信用卡MAN鈦金信用卡MAN鈦金信用卡MAN鈦金信用卡MAN鈦金信用卡MAN鈦金信用卡|32|120000|FALSE|0||Yes|0|每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分每HK$1簽賬可賺取1積分|zh|TRUE|TRUE|三合一香薰暖手供電器|31/12/2013||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
